Date,bbReturnLogOpen_pband_w46_stdDev3.479652436716822,macdReturnLogOpen_fW2_sW16_signal23,rsi_w15,macd_fW15_sW21_signal30,rsiReturnLogOpen_w15,macd_fW17_sW43_signal48,bbReturnLogOpen_lband_w43_stdDev0.5607752064443937,adx_pos_w5,stochRsiReturnLogOpen_k_w30_s13_s213,aroon_down_w49,stochRsiReturnLogOpen_stochrsi_w3_s111_s229,stochRsiReturnLogOpen_k_w3_s111_s229,aroonReturnLogOpen_up_w32,bbReturnLogOpen_lband_w7_stdDev1.4297935115233904,aroon_indicator_w32,aroon_indicator_w9,macdReturnLogOpen_fW4_sW48_signal41,aroon_up_w49,stochRsi_k_w3_s111_s229,macd_signal_fW17_sW43_signal48
2017-05-19,0.1307200368703098,0.0079477776817431,44.74762179776173,-2.109329965478992,38.807872515688864,-12.23340019360012,-0.0028657027885243,11.02673976840804,0.2956570746032863,51.02040816326531,0.0,0.6021865381882825,43.75,-0.0103378470541472,65.625,-22.22222222222223,0.0060866959476489,93.87755102040816,0.4487883126145527,-16.425605967424374
2017-05-22,0.7150896051612586,-0.0021487544310045,51.34023364730353,-1.847471028749169,55.634756508454274,-11.581030542523422,-0.0027150358025264,21.9603992878428,0.3333333333333335,48.97959183673469,1.0,0.6021865381882825,100.0,-0.0105471108391376,65.625,-22.22222222222223,0.0010302656035425,91.83673469387756,0.5117333396412236,-16.227868194979436
2017-05-23,0.7041693362914134,-0.0047293997324233,55.68878933976897,-2.0371587627000736,55.29038293050225,-11.775936481356894,-0.0026309286412885,25.62513004716824,0.659731790988579,46.93877551020408,0.973318835245741,0.6101998306780201,96.875,-0.0103805625047973,65.625,-22.22222222222221,-0.0017523950421984,89.79591836734694,0.5117333396412236,-16.04615669646423
2017-05-24,0.6214223525121781,-0.0037185494720463,57.15739070658341,-2.3148938723034007,53.05688050380655,-12.170719267778622,-0.001844422150586,30.08232909004407,0.9416502212998346,44.89795918367347,0.0,0.5192907397689291,93.75,-0.009894570720794,65.625,-22.22222222222223,-0.0024100155850595,87.75510204081633,0.5117333396412236,-15.88797557692604
2017-05-25,0.5491161511170531,-0.0018734402569794,59.126736644546575,-2.713035644000229,51.07202739725245,-12.836185974806996,-0.0018332447808772,33.467524472617285,0.8504930742835312,42.85714285714285,0.0,0.5192907397689291,90.625,-0.0097558225325092,87.5,55.55555555555556,-0.0019273283778185,100.0,0.6026424305503145,-15.763412736023222
2017-05-26,0.5942520644840276,-0.0020394588928182,62.43639235347101,-3.3630062771649136,52.37236406961052,-14.037218833202132,-0.0018081862445695,45.02442983385271,0.7928360585710288,40.81632653061224,0.764261418209351,0.5887690505152338,87.5,-0.0097983353802288,90.625,66.66666666666667,-0.0021778497917378,100.0,0.6497447967321855,-15.692955842030525
2017-05-30,0.5488745790305519,-0.0012017063630498,62.66385967348225,-3.8673805731236826,51.13582284699599,-15.034624395712854,-0.0013990087470902,41.78116603554866,0.7557871446078485,38.775510204081634,0.0,0.5095572405719884,84.375,-0.0066248409043052,93.75,77.77777777777777,-0.0018110933694117,100.0,0.7406538876412765,-15.666085170752249
2017-05-31,0.4383332584529398,0.0009118136193082,61.1250351304986,-4.125430020782915,48.16311939412,-15.61390459195627,-0.0015151175213999,37.02581363884316,0.700519323650294,36.734693877551024,0.0,0.430689113950463,81.25,-0.0003943302038591,93.75,77.77777777777777,-0.0004105918366927,97.95918367346938,0.7406538876412765,-15.663955351209555
2017-06-01,0.536380503660374,-8.272130674991844e-05,60.51777978096416,-4.245980492051331,50.83138337885817,-15.953687146100949,-0.0015739449545169,29.015488213865943,0.6698587988749205,34.69387755102041,1.0,0.430689113950463,78.125,-0.0005732704598467,84.375,66.66666666666667,-0.0006084335850864,95.91836734693877,0.6497447967321855,-15.67578113875614
2017-06-02,0.4708649819376181,0.0005274570233532,66.40167119105132,-4.916123466978661,49.25528631782247,-17.360302847632738,-0.0016176063473738,42.69743887492476,0.6329965231612998,32.6530612244898,0.4977936270769941,0.3850339891392806,75.0,-0.0007180625194955,93.75,88.88888888888889,-0.0001260408902183,100.0,0.6669572031626175,-15.744537126873553
2017-06-05,0.705862148999066,-0.0028708098508357,68.85543539192176,-5.700486126919714,55.13640293491658,-19.057682958556143,-0.0015585900224926,50.25768671066904,0.7697755551249065,30.612244897959183,1.0,0.4759430800483715,71.875,-0.0012115702485902,96.875,88.88888888888889,-0.0021599460382988,100.0,0.7578662940717085,-15.879767568983045
2017-06-06,0.5735338367466409,-0.0015813373959662,67.124090106194,-6.158383717369361,51.41079080173228,-20.20663526429325,-0.0014732652269061,45.5871794268001,0.7848268532806731,28.57142857142857,0.2640781802620773,0.499950187344924,68.75,-0.0011005319850492,90.625,77.77777777777777,-0.0019450195054187,97.95918367346938,0.7272727272727273,-16.056374413689582
2017-06-07,0.3851801207197523,0.0017316887845779,63.24042966329701,-6.221842683510204,46.79814761954382,-20.634953942036645,-0.0014456614587638,38.64352127183192,0.737905760592717,26.53061224489796,0.0,0.4090410964358331,65.625,-0.0025314505290344,90.625,66.66666666666667,4.863927459459929e-05,95.91836734693877,0.6363636363636364,-16.24325521076497
2017-06-08,0.4788866595900372,0.0012128003364859,64.47956362240294,-6.331498686984105,49.15938348188356,-21.14429824410536,-0.0015305628606464,30.968703217565825,0.6208705094413728,24.489795918367346,0.793141822104792,0.3926613679684742,62.5,-0.0028379520096949,34.375,22.22222222222221,0.0003071095083489,93.87755102040816,0.5807274238171523,-16.443297783554375
2017-06-09,0.510074977092607,0.000484486519597,64.69714826461255,-6.368940289362854,50.00109604030465,-21.512366167338318,-0.0013186496377952,31.864049125971384,0.5906009276201507,22.448979591836736,1.0,0.483570458877565,59.375,-0.0023263287735311,34.375,22.22222222222223,0.0001364404526133,91.83673469387756,0.5807274238171523,-16.650198533912903
2017-06-12,0.5049188083449302,0.0002598092256463,63.40421634195065,-6.25748475849241,49.95033597809149,-21.583390364457955,-0.001325775856851,18.64096646022535,0.6514216546566626,20.40816326530612,0.9195614433233108,0.5671669537251387,56.25,-0.002437703162548,34.375,22.22222222222222,5.400299418827092e-05,89.79591836734694,0.4898183329080613,-16.851553302506577
2017-06-13,0.3163119311766945,0.0030247173679549,61.84396129132419,-6.016578476914674,44.89316327993464,-21.378375335978035,-0.0014753895221863,15.52521174924756,0.5690711448142133,18.367346938775512,0.0,0.4976886429788341,53.125,-0.0039968348914759,34.375,22.222222222222214,0.0018711200782862,87.75510204081633,0.3989092419989704,-17.036321548770715
2017-06-14,0.6033043582843801,-0.0006412397019098,65.97498395768523,-6.130221625176546,52.55045676142724,-21.81606102231672,-0.0013689788061087,28.986576431865902,0.6169267596051607,16.3265306122449,1.0,0.588597733887925,50.0,-0.0034490083746526,56.25,55.55555555555556,0.000111152036795,100.0,0.3989092419989704,-17.231412955854225
